"filename", "language", "JSON", "JavaScript", "HTML", "XML", "Markdown", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\projects\examboard\frontend-react\src\pages\teacher\QuestionBank\MultipleChoiceQuestion.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 391, 0, 2, 30, 423
"c:\projects\examboard\frontend-react\src\pages\teacher\QuestionPapers.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 811, 0, 9, 65, 885
"c:\projects\examboard\frontend-react\src\pages\teacher\QuestionPapers\QuestionPaper.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 375, 0, 0, 20, 395
"c:\projects\examboard\frontend-react\src\pages\teacher\Students.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 188, 0, 0, 15, 203
"c:\projects\examboard\frontend-react\src\pages\teacher\TeacherIndex.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 356, 0, 14, 8, 378
"c:\projects\examboard\frontend-react\src\pages\writer\Dashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 2, 8
"c:\projects\examboard\frontend-react\src\router.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 5, 8, 31
"c:\projects\examboard\frontend-react\src\routes\admin.Routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 1, 7, 36
"c:\projects\examboard\frontend-react\src\routes\auth.Routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 34, 0, 1, 5, 40
"c:\projects\examboard\frontend-react\src\routes\guest.Routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 16, 0, 6, 4, 26
"c:\projects\examboard\frontend-react\src\routes\teacher.Routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 87, 0, 5, 9, 101
"c:\projects\examboard\frontend-react\src\routes\writer.Routes.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 26, 0, 1, 6, 33
"c:\projects\examboard\frontend-react\vite.config.js", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 3, 26
"Total", "-", 6414, 89, 17, 2, 49, 7976, 70, 152, 704, 15473
